Open_time,시가,고가,저가,종가,거래량,거래대금,거래횟수,매수_기본_자산_거래량,매수_상대_자산_거래대금
2022-03-30,47434.79,47700.22,46445.42,47067.99,40947.21,1932152559.88,1081607,20896.43,985946938.57
2022-03-31,47067.99,47600.0,45200.0,45510.34,48645.13,2262485160.57,1290541,22879.47,1064278670.64
2022-04-01,45510.35,46720.09,44200.0,46283.49,56271.06,2556532890.87,1372216,28041.38,1274359931.84
2022-04-02,46283.49,47213.0,45620.0,45811.0,37073.54,1721690754.44,1056716,18562.93,862197811.57
2022-04-03,45810.99,47444.11,45530.92,46407.35,33394.68,1550999693.05,966563,16740.18,777615974.82
2022-04-04,46407.36,46890.71,45118.0,46580.51,44641.88,2053434523.87,1171998,21913.04,1008164276.05
2022-04-05,46580.5,47200.0,45353.81,45497.55,42192.75,1951668192.93,1046080,20607.58,953494654.46
2022-04-06,45497.54,45507.14,43121.0,43170.47,60849.33,2700644700.89,1471912,29467.28,1307725131.19
2022-04-07,43170.47,43900.99,42727.35,43444.19,37396.54,1623879486.66,999816,18567.26,806358703.22
2022-04-08,43444.2,43970.62,42107.14,42252.01,42375.04,1830699971.61,1108136,20530.56,887196762.49
2022-04-09,42252.02,42800.0,42125.48,42753.97,17891.66,759274586.61,640230,8910.47,378158044.3
2022-04-10,42753.96,43410.3,41868.0,42158.85,22771.09,971459737.5,678983,10952.25,467438845.42
2022-04-11,42158.85,42414.71,39200.0,39530.45,63560.45,2602039073.02,1385924,30543.06,1251713135.5
2022-04-12,39530.45,40699.0,39254.63,40074.94,57751.02,2309514071.59,1153667,28345.0,1133659106.66
2022-04-13,40074.95,41561.31,39588.54,41147.79,41342.27,1677171454.09,948061,20522.55,832653378.51
2022-04-14,41147.78,41500.0,39551.94,39942.38,36807.01,1494726286.02,803756,17787.82,722216571.86
2022-04-15,39942.37,40870.36,39766.4,40551.9,24026.36,966888436.82,616536,11755.54,473100437.47
2022-04-16,40551.9,40709.35,39991.55,40378.71,15805.45,638275503.91,423446,7642.38,308642382.88
2022-04-17,40378.7,40595.67,39546.17,39678.12,19988.49,803414248.98,590241,9578.92,385124871.47
2022-04-18,39678.11,41116.73,38536.51,40801.13,54243.5,2153574975.91,1157741,27097.19,1076513006.71
2022-04-19,40801.13,41760.0,40571.0,41493.18,35788.86,1472363265.36,934526,17806.82,732539241.89
2022-04-20,41493.19,42199.0,40820.0,41358.19,40877.35,1697039284.09,1063843,20007.3,830754792.62
2022-04-21,41358.19,42976.0,39751.0,40480.01,59316.28,2476061417.89,1515456,29413.9,1228429890.96
2022-04-22,40480.01,40795.06,39177.0,39709.18,46664.02,1870172362.4,1043471,23248.71,931654706.55
2022-04-23,39709.19,39980.0,39285.0,39441.6,20291.42,804677022.91,724132,10217.2,405193110.94
2022-04-24,39441.61,39940.0,38929.62,39450.13,26703.61,1056336243.02,868183,12639.7,500129939.08
2022-04-25,39450.12,40616.0,38200.0,40426.08,63037.13,2470071005.24,1280351,31958.4,1252785476.6
2022-04-26,40426.08,40797.31,37702.26,38112.65,66650.26,2615206861.83,1381618,31936.94,1253685872.44
2022-04-27,38112.64,39474.72,37881.31,39235.72,57083.12,2218523642.43,1232083,28942.09,1124748467.7
2022-04-28,39235.72,40372.63,38881.43,39742.07,56086.67,2223808385.81,1135242,28519.47,1130865428.79
2022-04-29,39742.06,39925.25,38175.0,38596.11,51453.66,2006135662.86,1101140,24773.61,966125835.5
2022-04-30,38596.11,38795.38,37578.2,37630.8,35321.19,1354900532.13,1017369,16523.43,634076437.19
2022-05-01,37630.8,38675.0,37386.38,38468.35,38812.24,1478259271.91,1021157,19551.12,744825800.81
2022-05-02,38468.35,39167.34,38052.0,38525.16,53200.93,2058450718.3,1053893,27276.3,1055369693.13
2022-05-03,38525.16,38651.51,37517.8,37728.95,40316.45,1539320434.26,1005131,20002.76,764016892.67
2022-05-04,37728.95,40023.77,37670.0,39690.0,62574.62,2438553987.45,1238847,32968.17,1284541284.6
2022-05-05,39690.0,39845.51,35571.9,36552.97,88722.43,3329684235.96,1979692,41786.44,1568954443.59
2022-05-06,36552.97,36675.63,35258.0,36013.77,68437.8,2466507512.18,1214518,34536.42,1245062436.84
2022-05-07,36013.77,36146.3,34785.0,35472.39,34281.71,1222539413.64,746488,15385.19,548855038.24
2022-05-08,35472.4,35514.22,33713.95,34038.4,72445.64,2498365159.99,1301451,32350.04,1115547715.91
2022-05-09,34038.39,34243.15,30033.33,30076.31,191876.93,6166367111.28,2564538,86538.96,2781053306.47
2022-05-10,30074.23,32658.99,29730.4,31017.1,165532.0,5179856929.48,2470325,73691.2,2307177624.54
2022-05-11,31017.11,32162.59,27785.0,29103.94,207063.74,6300295994.55,3559270,99622.12,3036296142.1
2022-05-12,29103.94,30243.0,26700.0,29029.75,204507.26,5795451310.95,3951233,101465.28,2877462252.21
2022-05-13,29029.74,31083.37,28751.67,29287.05,97872.37,2956855804.86,2051900,48827.73,1475641181.96
2022-05-14,29287.05,30343.27,28630.0,30086.74,51095.88,1501483453.5,1204626,25908.17,761545954.19
2022-05-15,30086.74,31460.0,29480.0,31328.89,46275.67,1401499926.23,1016769,24163.36,732332763.61
2022-05-16,31328.89,31328.9,29087.04,29874.01,73082.2,2185567735.68,1561954,36284.05,1085179422.72
2022-05-17,29874.01,30788.37,29450.38,30444.93,56724.13,1715109131.08,1175382,28600.36,865031716.54
2022-05-18,30444.93,30709.99,28654.47,28715.32,59749.16,1762843836.13,1379212,29501.77,870623227.21
2022-05-19,28715.33,30545.18,28691.38,30319.23,67877.36,2014360135.79,1860780,35339.66,1049163442.9
2022-05-20,30319.22,30777.33,28730.0,29201.01,60517.25,1800589029.27,1694004,30890.4,919467696.62
2022-05-21,29201.01,29656.18,28947.28,29445.06,20987.13,616194663.98,643486,10558.93,310046148.8
2022-05-22,29445.07,30487.99,29255.11,30293.94,36158.99,1082530816.02,862880,18538.1,555044195.8
2022-05-23,30293.93,30670.51,28866.35,29109.15,63901.5,1914305818.07,1328317,30476.67,913813980.95
2022-05-24,29109.14,29845.86,28669.0,29654.58,59442.96,1740257602.31,946421,29480.08,863516681.51
2022-05-25,29654.58,30223.74,29294.21,29542.15,59537.39,1771708175.07,985440,28846.97,858587338.5
2022-05-26,29542.14,29886.64,28019.56,29201.35,94581.65,2759055410.4,1431112,45206.85,1319426335.72
2022-05-27,29201.35,29397.66,28282.9,28629.8,90998.52,2626515958.5,1321406,43590.05,1258912486.7
2022-05-28,28629.81,29266.0,28450.0,29031.33,34479.35,994674257.57,684423,17561.21,506633343.68
2022-05-29,29031.33,29587.78,28839.21,29468.1,27567.35,804777532.65,635311,13735.43,401056725.57
2022-05-30,29468.1,32222.0,29299.62,31734.22,96785.95,2980527582.47,1380410,45024.46,1384940691.97
2022-05-31,31734.23,32399.0,31200.01,31801.04,62433.12,1981259117.01,1161340,30046.96,953574564.33
2022-06-01,31801.05,31982.97,29301.0,29805.83,103395.63,3171191028.25,1404611,47614.81,1460767260.7
2022-06-02,29805.84,30689.0,29594.55,30452.62,56961.43,1711652906.19,1086183,28555.07,858193492.4
2022-06-03,30452.63,30699.0,29282.36,29700.21,54067.45,1615616950.71,993769,26583.25,794354787.34
2022-06-04,29700.21,29988.88,29485.0,29864.04,25617.9,760874329.47,618037,12971.72,385358236.92
2022-06-05,29864.03,30189.0,29531.42,29919.21,23139.93,691201528.16,604680,11753.51,351150600.78
2022-06-06,29919.2,31765.64,29890.23,31373.1,68836.92,2149499896.93,1124745,34225.54,1068381827.99
2022-06-07,31373.1,31589.6,29218.96,31125.33,110674.52,3347397952.73,1743957,54831.53,1661147413.26
2022-06-08,31125.32,31327.22,29843.88,30204.77,68542.61,2087270428.35,1236327,32668.41,995180478.27
2022-06-09,30204.77,30700.0,29944.1,30109.93,46291.19,1399839073.77,841562,23082.29,697948605.99
2022-06-10,30109.93,30382.8,28850.0,29091.88,76204.25,2255866294.49,1258608,35502.21,1050877735.84
2022-06-11,29091.87,29440.41,28099.99,28424.7,65901.4,1892007188.08,1084163,31848.33,914365117.83
2022-06-12,28424.71,28544.96,26560.0,26574.53,92474.6,2551767136.33,1451271,43538.79,1201389150.89
2022-06-13,26574.53,26895.84,21925.77,22487.41,254611.03,6192246037.4,3261484,121398.56,2953984191.52
2022-06-14,22485.27,23362.88,20846.0,22136.41,187201.65,4136108699.03,2583151,92764.74,2051107738.63
2022-06-15,22136.42,22800.0,20111.62,22583.72,200774.49,4249276481.26,2847831,98340.1,2083014439.2
2022-06-16,22583.72,22995.73,20232.0,20401.31,99673.59,2130037160.06,1690477,48048.86,1027305936.82
2022-06-17,20400.6,21365.43,20246.66,20468.81,86694.34,1796575392.55,1352992,43066.94,892584106.66
2022-06-18,20468.81,20792.06,17622.0,18970.79,196441.66,3726639821.7,2467372,96560.04,1833514054.89
2022-06-19,18970.79,20815.95,17960.41,20574.0,128320.88,2487561781.54,1950660,65871.82,1277952917.41
2022-06-20,20574.0,21090.0,19637.03,20573.89,109028.94,2220396381.74,1639448,54047.82,1100883996.5
2022-06-21,20573.9,21723.0,20348.4,20723.52,104371.07,2198596137.34,1515321,52193.34,1099446297.12
2022-06-22,20723.51,20900.0,19770.51,19987.99,92133.98,1872204589.24,1394981,44907.3,912710764.73
